short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot
Fabián,Fabián Ruiz Peña,82,25,1996-04-03,189,70,RCM,Midfield,Napoli,Italian Serie A,Spain,8,Left
Rúben Neves,Rúben Diogo da Silva Neves,82,24,1997-03-13,180,80,RCM,Midfield,Wolverhampton Wanderers,English Premier League,Portugal,8,Right
M. Ødegaard,Martin Ødegaard,82,22,1998-12-17,178,68,CAM,Midfield,Arsenal,English Premier League,Norway,8,Left
A. Rebić,Ante Rebić,82,27,1993-09-21,185,78,LM,Midfield,AC Milan,Italian Serie A,Croatia,12,Right
Diego Carlos,Diego Carlos Santos Silva,82,28,1993-03-15,185,86,LCB,Defender,Sevilla FC,Spain Primera Division,Brazil,20,Right
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,82,28,1993-05-17,170,63,RM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,27,Right
Anderson Talisca,Anderson Souza Conceição,82,27,1994-02-01,190,80,CAM,Midfield,Al Nassr,Saudi Abdul L. Jameel League,Brazil,94,Left
N. Süle,Niklas Süle,82,25,1995-09-03,195,99,LCB,Defender,FC Bayern München,German 1. Bundesliga,Germany,4,Right
Mario Hermoso,Mario Hermoso Canseco,82,26,1995-06-18,185,76,LCB,Defender,Atlético de Madrid,Spain Primera Division,Spain,22,Left
T. Souček,Tomáš Souček,82,26,1995-02-27,192,86,RDM,Midfield,West Ham United,English Premier League,Czech Republic,28,Right
F. Neuhaus,Florian Christian Neuhaus,82,24,1997-03-16,185,74,LDM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,32,Right
D. Livaković,Dominik Livaković,82,26,1995-01-09,187,79,GK,GK,Dinamo Zagreb,Croatian Prva HNL,Croatia,40,Right
Ferran Torres,Ferran Torres García,82,21,2000-02-29,184,77,ST,Forward,Manchester City,English Premier League,Spain,21,Right
D. Berardi,Domenico Berardi,82,26,1994-08-01,183,72,RM,Midfield,U.S. Sassuolo Calcio,Italian Serie A,Italy,25,Left
Y. En-Nesyri,Youssef En-Nesyri,82,24,1997-06-01,188,78,ST,Forward,Sevilla FC,Spain Primera Division,Morocco,15,Left
A. Davies,Alphonso Boyle Davies,82,20,2000-11-02,183,75,LB,Defender,FC Bayern München,German 1. Bundesliga,Canada,19,Left
Raphaelinho Anjos,Raphael William Anjos Rochedo,82,33,1988-02-29,190,85,GK,GK,RB Bragantino,Campeonato Brasileiro Série A,Brazil,1,Right
D. Rice,Declan Rice,82,22,1999-01-14,185,80,LDM,Midfield,West Ham United,English Premier League,England,41,Right
A. Isak,Alexander Isak,82,21,1999-09-21,192,77,ST,Forward,Real Sociedad,Spain Primera Division,Sweden,19,Right
Raphinha,Raphael Dias Belloli,82,24,1996-12-14,176,68,RM,Midfield,Leeds United,English Premier League,Brazil,10,Left
Richarlison,Richarlison de Andrade,82,24,1997-05-10,181,71,LM,Midfield,Everton,English Premier League,Brazil,7,Right
Unai Simón,Unai Simón Mendibil,82,24,1997-06-11,190,89,GK,GK,Athletic Club de Bilbao,Spain Primera Division,Spain,1,Right
M. Locatelli,Manuel Locatelli,82,23,1998-01-08,185,75,RDM,Midfield,Juventus,Italian Serie A,Italy,27,Right
I. Gueye,Idrissa Gana Gueye,82,31,1989-09-26,174,66,CM,Midfield,Paris Saint-Germain,French Ligue 1,Senegal,27,Right
M. Götze,Mario Götze,82,29,1992-06-03,177,71,CAM,Midfield,PSV,Holland Eredivisie,Germany,27,Right
D. Blind,Daley Blind,82,31,1990-03-09,180,72,LB,Defender,Ajax,Holland Eredivisie,Netherlands,17,Left
K. Trapp,Kevin Trapp,82,30,1990-07-08,189,88,GK,GK,Eintracht Frankfurt,German 1. Bundesliga,Germany,1,Right
Oscar,Oscar dos Santos Emboaba Júnior,82,29,1991-09-09,179,70,CAM,Midfield,Shanghai Port FC,Chinese Super League,Brazil,8,Right
L. Stindl,Lars Edi Stindl,82,32,1988-08-26,181,80,CAM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,13,Right
M. Pjanić,Miralem Pjanić,82,31,1990-04-02,178,72,RCM,Midfield,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,15,Right
É. Banega,Éver Maximiliano David Banega,82,33,1988-06-29,174,75,CAM,Midfield,Al Shabab,Saudi Abdul L. Jameel League,Argentina,10,Right
Rui Patrício,Rui Pedro dos Santos Patrício,82,33,1988-02-15,190,84,GK,GK,Roma,Italian Serie A,Portugal,1,Left
G. Bale,Gareth Frank Bale,82,31,1989-07-16,185,82,RW,Forward,Real Madrid CF,Spain Primera Division,Wales,18,Left
S. Sirigu,Salvatore Sirigu,82,34,1987-01-12,192,85,GK,GK,Genoa,Italian Serie A,Italy,57,Right
Ł. Fabiański,Łukasz Fabiański,82,36,1985-04-18,190,83,GK,GK,West Ham United,English Premier League,Poland,1,Right
Raúl Albiol,Raúl Albiol Tortajada,82,35,1985-09-04,190,82,RCB,Defender,Villarreal CF,Spain Primera Division,Spain,3,Right
Pepe,Kléper Laveran de Lima Ferreira,82,38,1983-02-26,188,80,LCB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Portugal,3,Right
Grimaldo,Alejandro Grimaldo García,82,25,1995-09-20,171,69,LWB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Spain,3,Left
Mário Fernandes,Mário Figueira Fernandes,82,30,1990-09-19,187,80,RB,Defender,PFC CSKA Moscow,Russian Premier League,Russia,2,Right
Suso,Jesús Joaquín Fernández Sáez de la Torre,82,27,1993-11-19,176,70,RW,Forward,Sevilla FC,Spain Primera Division,Spain,7,Left
Y. Bounou,Yassine Bounou,82,30,1991-04-05,192,78,GK,GK,Sevilla FC,Spain Primera Division,Morocco,13,Left
O. Baumann,Oliver Baumann,82,31,1990-06-02,187,82,GK,GK,TSG Hoffenheim,German 1. Bundesliga,Germany,1,Right
M. de Roon,Marten Elco de Roon,82,30,1991-03-29,185,76,RCM,Midfield,Atalanta,Italian Serie A,Netherlands,15,Right
H. Çalhanoğlu,Hakan Çalhanoğlu,82,27,1994-02-08,178,76,LCM,Midfield,Inter,Italian Serie A,Turkey,20,Right
Juan Bernat,Juan Bernat Velasco,82,28,1993-03-01,170,67,LB,Defender,Paris Saint-Germain,French Ligue 1,Spain,14,Left
J. Veretout,Jordan Veretout,82,28,1993-03-01,177,67,LDM,Midfield,Roma,Italian Serie A,France,17,Right
Gabriel Paulista,Gabriel Armando de Abreu,82,30,1990-11-26,185,72,RCB,Defender,Valencia CF,Spain Primera Division,Brazil,5,Right
Campaña,José Ángel Gómez Campaña,82,28,1993-05-31,179,70,LCM,Midfield,Levante Unión Deportiva,Spain Primera Division,Spain,24,Right
A. Lopes,Anthony Lopes,82,30,1990-10-01,184,81,GK,GK,Olympique Lyonnais,French Ligue 1,Portugal,1,Left
W. Zaha,Wilfried Zaha,82,28,1992-11-10,180,66,RW,Forward,Crystal Palace,English Premier League,Côte d'Ivoire,11,Right
K. Laimer,Konrad Laimer,81,24,1997-05-27,180,72,RDM,Midfield,RB Leipzig,German 1. Bundesliga,Austria,27,Right
D. Calvert-Lewin,Dominic Calvert-Lewin,81,24,1997-03-16,187,71,ST,Forward,Everton,English Premier League,England,9,Right
K. Phillips,Kalvin Phillips,81,25,1995-12-02,178,72,CDM,Midfield,Leeds United,English Premier League,England,23,Right
David Soria,David Soria Solís,81,28,1993-04-04,192,85,GK,GK,Getafe CF,Spain Primera Division,Spain,13,Right
N. Pépé,Nicolas Pépé,81,26,1995-05-29,183,73,RM,Midfield,Arsenal,English Premier League,Côte d'Ivoire,19,Left
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,81,24,1996-11-29,179,68,LS,Forward,Valencia CF,Spain Primera Division,Portugal,7,Right
Morales,José Luis Morales Nogales,81,33,1987-07-23,180,70,LS,Forward,Levante Unión Deportiva,Spain Primera Division,Spain,11,Right
D. Djené,Djené Dakonam Ortega,81,29,1991-12-31,178,72,RCB,Defender,Getafe CF,Spain Primera Division,Togo,2,Right
D. Machís,Darwin Daniel Machís Marcano,81,28,1993-02-07,174,74,RM,Midfield,Granada CF,Spain Primera Division,Venezuela,11,Right
M. Politano,Matteo Politano,81,27,1993-08-03,171,67,RW,Forward,Napoli,Italian Serie A,Italy,21,Left
Iñaki Williams,Iñaki Williams Arthuer,81,27,1994-06-15,186,80,LS,Forward,Athletic Club de Bilbao,Spain Primera Division,Spain,9,Right
O. Vlachodimos,Odisseas Vlachodimos,81,27,1994-04-26,191,78,GK,GK,SL Benfica,Portuguese Liga ZON SAGRES,Greece,99,Right
Otávio,Otávio Edmilson da Silva Monteiro,81,26,1995-02-09,172,71,RM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Portugal,25,Right
P. Zieliński,Piotr Sebastian Zieliński,81,27,1994-05-20,180,75,CAM,Midfield,Napoli,Italian Serie A,Poland,20,Right
Rui Silva,Rui Tiago Dantas da Silva,81,27,1994-02-07,191,91,GK,GK,Real Betis Balompié,Spain Primera Division,Portugal,13,Right
N. Mukiele,Nordi Mukiele Mulere,81,23,1997-11-01,187,84,RB,Defender,RB Leipzig,German 1. Bundesliga,France,22,Right
Reguilón,Sergio Reguilón Rodríguez,81,24,1996-12-16,178,68,LB,Defender,Tottenham Hotspur,English Premier League,Spain,3,Left
Álex Remiro,Alejandro Remiro Gargallo,81,26,1995-03-24,191,83,GK,GK,Real Sociedad,Spain Primera Division,Spain,1,Right
Yeray,Yeray Álvarez López,81,26,1995-01-24,182,79,RCB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,5,Right
Fred,Frederico Rodrigues de Paula Santos,81,28,1993-03-05,169,62,LDM,Midfield,Manchester United,English Premier League,Brazil,17,Left
Pedri,Pedro González López,81,18,2002-11-25,174,61,LCM,Midfield,FC Barcelona,Spain Primera Division,Spain,16,Right
E. Tapsoba,Edmond Fayçal Tapsoba,81,22,1999-02-02,194,85,RCB,Defender,Bayer 04 Leverkusen,German 1. Bundesliga,Burkina Faso,12,Right
M. Diaby,Moussa Diaby,81,21,1999-07-07,170,68,RM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,France,19,Left
Pedro Gonçalves,Pedro António Pereira Gonçalves,81,23,1998-06-28,173,65,RW,Forward,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,28,Right
R. James,Reece James,81,21,1999-12-08,178,87,RCB,Defender,Chelsea,English Premier League,England,24,Right
M. Lazzari,Manuel Lazzari,81,27,1993-11-29,174,67,RB,Defender,Lazio,Italian Serie A,Italy,29,Right
H. Aouar,Houssem Aouar,81,23,1998-06-30,175,70,LM,Midfield,Olympique Lyonnais,French Ligue 1,France,8,Right
H. Barnes,Harvey Lewis Barnes,81,23,1997-12-09,180,66,LM,Midfield,Leicester City,English Premier League,England,7,Right
Carlos Soler,Carlos Soler Barragán,81,24,1997-01-02,180,76,RM,Midfield,Valencia CF,Spain Primera Division,Spain,10,Right
Lucas Paquetá,Lucas Tolentino Coelho de Lima,81,23,1997-08-27,180,72,CAM,Midfield,Olympique Lyonnais,French Ligue 1,Brazil,10,Left
C. Nkunku,Christopher Nkunku,81,23,1997-11-14,179,72,LAM,Midfield,RB Leipzig,German 1. Bundesliga,France,18,Right
R. Malinovskyi,Ruslan Malinovskyi,81,28,1993-05-04,181,79,RF,Forward,Atalanta,Italian Serie A,Ukraine,18,Left
Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,29,1992-02-29,184,79,ST,Forward,Flamengo,Campeonato Brasileiro Série A,Brazil,20,Right
Louri Beretta,Lourival Adnan Beretta Barbosa,81,29,1992-02-29,188,83,ST,Forward,RB Bragantino,Campeonato Brasileiro Série A,Brazil,9,Right
Rosberto Dourado,Rosberto J. Dourado Santos,81,21,2000-02-29,175,70,RDM,Midfield,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,Brazil,22,Right
Juiano Mestres,Juan Everton Mestres de Mesquita,81,25,1996-02-29,181,82,RCB,Defender,Clube Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,21,Right
L. Pellegrini,Lorenzo Pellegrini,81,25,1996-06-19,186,77,CAM,Midfield,Roma,Italian Serie A,Italy,7,Right
José Fonte,José Miguel da Rocha Fonte,81,37,1983-12-22,191,84,RCB,Defender,LOSC Lille,French Ligue 1,Portugal,6,Right
Jonathan Viera,Jonathan Viera Ramos,81,31,1989-10-01,171,67,CAM,Midfield,Unión Deportiva Las Palmas,Spanish Segunda División,Spain,21,Right
D. Ings,Daniel William John Ings,81,28,1992-07-23,178,73,ST,Forward,Aston Villa,English Premier League,England,20,Right
K. Kampl,Kevin Kampl,81,30,1990-10-09,178,66,LDM,Midfield,RB Leipzig,German 1. Bundesliga,Slovenia,44,Right
Aitor,Aitor Fernández Abarisketa,81,30,1991-05-03,182,78,GK,GK,Levante Unión Deportiva,Spain Primera Division,Spain,1,Right
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,81,33,1988-02-12,183,76,CB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Argentina,30,Right
B. André,Benjamin André,81,30,1990-08-03,180,74,RCM,Midfield,LOSC Lille,French Ligue 1,France,21,Right
Marlos,Marlos Romero Bonfim,81,33,1988-06-07,174,76,RM,Midfield,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,11,Left
M. Arnautović,Marko Arnautović,81,32,1989-04-19,192,83,ST,Forward,Bologna,Italian Serie A,Austria,9,Right
M. Kruse,Max Bennet Kruse,81,33,1988-03-19,180,76,LS,Forward,1. FC Union Berlin,German 1. Bundesliga,Germany,10,Left
I. Perišić,Ivan Perišić,81,32,1989-02-02,186,80,LM,Midfield,Inter,Italian Serie A,Croatia,14,Left
Lucas Leiva,Lucas Pezzini Leiva,81,34,1987-01-09,179,78,CDM,Midfield,Lazio,Italian Serie A,Brazil,6,Right
J. Vertonghen,Jan Vertonghen,81,34,1987-04-24,189,86,LCB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Belgium,5,Left
Joaquín,Joaquín Sánchez Rodríguez,81,39,1981-07-21,179,75,RM,Midfield,Real Betis Balompié,Spain Primera Division,Spain,17,Right
G. Higuaín,Gonzalo Gerardo Higuaín,81,33,1987-12-10,186,89,ST,Forward,Inter Miami CF,USA Major League Soccer,Argentina,9,Right
S. Mandanda,Steve Mandanda,81,36,1985-03-28,185,82,GK,GK,Olympique de Marseille,French Ligue 1,France,30,Right
A. Gignac,André-Pierre Christian Gignac,81,35,1985-12-05,189,85,RS,Forward,Tigres U.A.N.L.,Mexican Liga MX,France,10,Right
Nani,Luís Carlos Almeida da Cunha,81,34,1986-11-17,177,70,ST,Forward,Orlando City Soccer Club,USA Major League Soccer,Portugal,17,Right
B. Yılmaz,Burak Yılmaz,81,35,1985-07-15,188,77,LS,Forward,LOSC Lille,French Ligue 1,Turkey,17,Right
A. Belotti,Andrea Belotti,81,27,1993-12-20,181,84,ST,Forward,Torino F.C.,Italian Serie A,Italy,9,Right
Adán,Antonio Adán Garrido,81,34,1987-05-13,190,86,GK,GK,Sporting CP,Portuguese Liga ZON SAGRES,Spain,1,Left
E. Forsberg,Emil Peter Forsberg,81,29,1991-10-23,177,76,CAM,Midfield,RB Leipzig,German 1. Bundesliga,Sweden,10,Right
Danilo,Danilo Luiz da Silva,81,29,1991-07-15,184,78,RB,Defender,Juventus,Italian Serie A,Brazil,6,Right
A. Januzaj,Adnan Januzaj,81,26,1995-02-05,186,76,RW,Forward,Real Sociedad,Spain Primera Division,Belgium,11,Left
M. Arnold,Maximilian Arnold,81,27,1994-05-27,184,74,LDM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Germany,27,Left
E. Višća,Edin Višća,81,31,1990-02-17,172,63,RM,Midfield,İstanbul Başakşehir FK,Turkish Süper Lig,Bosnia and Herzegovina,7,Right
J. Ward-Prowse,James Ward-Prowse,81,26,1994-11-01,173,66,RCM,Midfield,Southampton,English Premier League,England,8,Right
A. Milik,Arkadiusz Krystian Milik,81,27,1994-02-28,186,78,ST,Forward,Olympique de Marseille,French Ligue 1,Poland,9,Left
W. Orban,Vilmos Tamás Orban,81,28,1992-11-03,186,87,RCB,Defender,RB Leipzig,German 1. Bundesliga,Hungary,4,Right
Iñigo Martínez,Íñigo Martínez Berridi,81,30,1991-05-17,182,77,LCB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,4,Left
A. Cragno,Alessio Cragno,81,27,1994-06-28,184,78,GK,GK,Cagliari,Italian Serie A,Italy,28,Right
Nacho Fernández,José Ignacio Fernández Iglesias,81,31,1990-01-18,180,76,LCB,Defender,Real Madrid CF,Spain Primera Division,Spain,6,Right
J. Tarkowski,James Tarkowski,81,28,1992-11-19,188,81,RCB,Defender,Burnley,English Premier League,England,5,Right
A. Marchesín,Agustín Federico Marchesín,81,33,1988-03-16,188,84,GK,GK,FC Porto,Portuguese Liga ZON SAGRES,Argentina,1,Right
Lucas Moura,Lucas Rodrigues Moura da Silva,81,28,1992-08-13,174,70,RW,Forward,Tottenham Hotspur,English Premier League,Brazil,27,Right
Paco Alcácer,Francisco Alcácer García,81,27,1993-08-30,175,70,LS,Forward,Villarreal CF,Spain Primera Division,Spain,9,Right
T. Vaclík,Tomáš Vaclík,81,32,1989-03-29,188,85,GK,GK,Olympiacos CFP,Greek Super League,Czech Republic,1,Right
J. Rodríguez,Jonathan Javier Rodríguez Portillo,80,27,1993-07-06,177,79,ST,Forward,Cruz Azul,Mexican Liga MX,Uruguay,21,Right
Joan Jordán,Joan Jordán Moreno,80,26,1994-07-06,183,74,RCM,Midfield,Sevilla FC,Spain Primera Division,Spain,8,Right
Borja Iglesias,Borja Iglesias Quintas,80,28,1993-01-17,187,86,ST,Forward,Real Betis Balompié,Spain Primera Division,Spain,9,Right
J. Bamba,Jonathan Bamba,80,25,1996-03-26,175,70,LM,Midfield,LOSC Lille,French Ligue 1,France,7,Right
Álex Berenguer,Alejandro Berenguer Remiro,80,25,1995-07-04,175,73,RM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,7,Right
K. Tierney,Kieran Tierney,80,24,1997-06-05,178,70,LB,Defender,Arsenal,English Premier League,Scotland,3,Left
Everton,Éverton Sousa Soares,80,25,1996-03-22,174,72,LM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,7,Right
A. Christensen,Andreas Bødtker Christensen,80,25,1996-04-10,187,81,CB,Defender,Chelsea,English Premier League,Denmark,4,Right
J. Denayer,Jason Denayer,80,26,1995-06-28,184,80,LCB,Defender,Olympique Lyonnais,French Ligue 1,Belgium,5,Right
Embarba,Adrián Embarba Blázquez,80,29,1992-05-07,173,68,RM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Spain,23,Right
Capa,Ander Capa Rodríguez,80,29,1992-02-08,175,75,RB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,21,Right
G. Rulli,Gerónimo Rulli,80,29,1992-05-20,189,84,GK,GK,Villarreal CF,Spain Primera Division,Argentina,13,Right
W. Benítez,Walter Daniel Benítez,80,28,1993-01-19,191,93,GK,GK,OGC Nice,French Ligue 1,Argentina,40,Right
F. Armani,Franco Armani,80,34,1986-10-16,189,88,GK,GK,River Plate,Argentina Primera División,Argentina,1,Right
João Mário,João Mário Naval da Costa Eduardo,80,28,1993-01-19,179,73,LCM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,20,Right
P. Max,Philipp Martin Max,80,27,1993-09-30,177,77,LB,Defender,PSV,Holland Eredivisie,Germany,31,Left
Nélson Semedo,Nélson Cabral Semedo,80,27,1993-11-16,177,69,RWB,Defender,Wolverhampton Wanderers,English Premier League,Portugal,22,Right
G. Mancini,Gianluca Mancini,80,25,1996-04-17,190,77,RCB,Defender,Roma,Italian Serie A,Italy,23,Right
B. Saka,Bukayo Saka,80,19,2001-09-05,178,65,LM,Midfield,Arsenal,English Premier League,England,7,Left
V. Coufal,Vladimír Coufal,80,28,1992-08-22,175,76,RB,Defender,West Ham United,English Premier League,Czech Republic,5,Right
V. Tsygankov,Viktor Tsygankov,80,23,1997-11-15,178,72,RM,Midfield,Dynamo Kyiv,Ukrainian Premier League,Ukraine,15,Left
Pedro Porro,Pedro Antonio Porro Sauceda,80,21,1999-09-13,176,71,RWB,Defender,Sporting CP,Portuguese Liga ZON SAGRES,Spain,24,Right
D. Alli,Bamidele Alli,80,25,1996-04-11,188,80,LCM,Midfield,Tottenham Hotspur,English Premier League,England,20,Right
L. Díaz,Luis Fernando Díaz Marulanda,80,24,1997-01-13,180,73,LM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Colombia,7,Right
R. Baku,Ridle Bote Baku,80,23,1998-04-08,176,75,RM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Germany,20,Right
M. Gómez,Maximiliano Gómez González,80,24,1996-08-14,186,84,RS,Forward,Valencia CF,Spain Primera Division,Uruguay,9,Right
A. Bastoni,Alessandro Bastoni,80,22,1999-04-13,190,75,LCB,Defender,Inter,Italian Serie A,Italy,95,Left
B. Kamara,Boubacar Bernard Kamara,80,21,1999-11-23,184,68,RDM,Midfield,Olympique de Marseille,French Ligue 1,France,4,Right
J. Pavlenka,Jiří Pavlenka,80,29,1992-04-14,196,81,GK,GK,SV Werder Bremen,German 2. Bundesliga,Czech Republic,1,Right
N. Mazraoui,Noussair Mazraoui,80,23,1997-11-14,183,62,RB,Defender,Ajax,Holland Eredivisie,Morocco,12,Right
X. Schlager,Xaver Schlager,80,23,1997-09-28,174,76,RDM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Austria,24,Left
V. Osimhen,Victor James Osimhen,80,22,1998-12-29,185,78,ST,Forward,Napoli,Italian Serie A,Nigeria,9,Right
D. Malen,Donyell Malen,80,22,1999-01-19,179,78,LS,Forward,Borussia Dortmund,German 1. Bundesliga,Netherlands,21,Right
Renato Sanches,Renato Júnior Luz Sanches,80,23,1997-08-18,176,70,LCM,Midfield,LOSC Lille,French Ligue 1,Portugal,18,Right
Laure Santeiro,Laureano Thomas Santeiro Marre,80,21,2000-02-29,171,63,LM,Midfield,Fluminense,Campeonato Brasileiro Série A,Brazil,10,Left
Héniton Pires,Héniton Enaldo Pires Tramontino,80,25,1996-02-29,182,74,GK,GK,Flamengo,Campeonato Brasileiro Série A,Brazil,1,Right
Maikel Catarino,Maikel Renan Catarino Fagundes,80,25,1996-02-29,177,75,RB,Defender,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,Brazil,2,Right
E. Pérez,Enzo Nicolás Pérez,80,35,1986-02-22,178,77,RDM,Midfield,River Plate,Argentina Primera División,Argentina,24,Right
